region,week,mean,sd,q10,q50,q90
R0_metro,76,458.45454545454544,89.10933019203279,357.0,473.0,545.0
R0_metro,77,410.27272727272725,88.03191570003564,337.0,403.0,530.0
R0_metro,78,393.90909090909093,97.75832910341147,321.0,380.0,498.0
R0_metro,79,383.6363636363636,83.6985934496784,308.0,360.0,475.0
R0_metro,80,381.8181818181818,85.72493007499999,306.0,363.0,458.0
R0_metro,81,358.1818181818182,75.897059471126,281.0,346.0,468.0
R0_metro,82,316.1818181818182,66.56848831364307,242.0,312.0,411.0
R0_metro,83,287.45454545454544,44.20715696889732,242.0,279.0,342.0
R0_metro,84,266.54545454545456,46.73406388570041,209.0,253.0,339.0
R0_metro,85,245.36363636363637,41.076204126653984,195.0,247.0,286.0
R0_metro,86,227.72727272727272,35.499551853765446,187.0,227.0,265.0
R0_metro,87,206.63636363636363,34.179738814896545,181.0,205.0,243.0
R0_metro,88,167.54545454545453,38.92136594818748,125.0,159.0,215.0
