day,mean_S,sd_S,mean_I,sd_I,mean_R,sd_R
573,3818.3,231.06711146331494,407.2,78.99594926323753,995191.8,217.13028347054677
574,3827.6,243.57224800867607,401.4,78.5381435991455,995196.0,212.48105797929375
575,3833.1,250.5878887735798,396.6,84.07401501058457,995199.9,216.06779028814083
576,3842.3,261.9786441678024,395.4,79.99649992343416,995195.3,216.18420386327952
577,3855.3,270.2739536100362,386.5,74.685005188458,995192.1,220.5681073954256
578,3867.2,277.3570983407492,384.7,73.03978367985492,995195.8,226.7879185494677
579,3879.0,280.2734379137631,377.4,66.72810502329584,995191.4,223.07899945983263
580,3885.4,283.26249310489374,370.7,67.79977876070097,995188.0,221.30612282537507
581,3896.1,289.4558515559842,372.2,65.98605913372914,995180.3,220.52621159399624
582,3910.7,294.2855925797252,369.3,66.05611251050125,995171.5,222.34488975463321
583,3923.7,295.3211980200541,363.6,68.72292194020856,995174.7,227.06609170019198
584,3941.0,297.6245957578103,363.5,72.93455970937235,995162.7,227.46386526215542
585,3956.0,304.56854729272357,362.5,66.49097683144684,995154.1,236.4383429141729
586,3970.8,310.015741535813,355.1,63.07210159809169,995150.2,240.78197606963857
587,3988.0,315.61717317028234,355.9,55.310848845411876,995141.8,250.40638969483186
588,3999.5,310.5096616854297,352.0,54.297329584428,995134.2,262.0762484468977
589,4023.0,311.6648841303749,349.1,51.08316748205812,995125.0,276.3099708660547
590,4043.4,312.44717953599775,346.5,45.30397333567995,995113.1,279.3468990341579
591,4061.7,310.2360552869379,343.7,44.835365505368635,995099.4,284.5829228889183
592,4080.1,315.2980970446856,338.8,46.12331297727864,995089.4,283.961335396212
593,4104.4,321.60509946205764,333.2,43.13189075382622,995078.7,285.35733738595195
594,4122.3,323.27079979484694,332.3,44.16118204939718,995065.1,294.9784568404954
595,4134.5,329.5846628713175,328.4,45.98956403359353,995054.7,300.13565266392465
596,4154.4,329.83426141018157,322.0,46.06300033649567,995039.9,302.13720393225327
597,4179.8,326.1026832149653,317.3,44.32166513117484,995023.9,306.36496209586375
