region,biweek,cases
R1_nw,37,1481
R1_nw,38,986
R1_nw,39,728
R1_nw,40,389
R1_nw,41,154
R1_nw,42,112
R1_nw,43,38
R1_nw,44,19
R1_nw,45,12
R1_nw,46,4
R1_nw,47,0
R1_nw,48,0
R1_nw,49,0
R1_nw,50,0
R1_nw,51,0
R1_nw,52,0
R1_nw,53,0
R1_nw,54,0
R1_nw,55,0
R1_nw,56,0
R1_nw,57,0
R1_nw,58,0
R1_nw,59,0
R1_nw,60,0
R1_nw,61,0
R1_nw,62,0
R1_nw,63,0
R1_nw,64,0
R1_nw,65,0
R1_nw,66,0
R1_nw,67,0
R1_nw,68,0
R1_nw,69,0
R1_nw,70,0
R1_nw,71,0
R1_nw,72,0
R1_nw,73,0
R1_nw,74,0
R1_nw,75,0
R1_nw,76,0
R1_nw,77,0
R1_nw,78,0
R2_ne,0,0
R2_ne,1,0
R2_ne,2,0
R2_ne,3,0
R2_ne,4,6
R2_ne,5,10
R2_ne,6,3
R2_ne,7,0
R2_ne,8,0
R2_ne,9,4
R2_ne,10,42
R2_ne,11,76
R2_ne,12,153
R2_ne,13,350
R2_ne,14,544
R2_ne,15,916
R2_ne,16,1135
R2_ne,17,1310
R2_ne,18,1542
R2_ne,19,1474
R2_ne,20,1394
R2_ne,21,1328
R2_ne,22,1414
R2_ne,23,1442
R2_ne,24,1354
R2_ne,25,1474
R2_ne,26,1683
R2_ne,27,2019
R2_ne,28,2460
R2_ne,29,2949
R2_ne,30,3564
R2_ne,31,3859
R2_ne,32,3822
R2_ne,33,3750
R2_ne,34,3589
R2_ne,35,3284
R2_ne,36,2716
R2_ne,37,1759
R2_ne,38,1327
R2_ne,39,770
R2_ne,40,562
R2_ne,41,332
R2_ne,42,193
R2_ne,43,112
R2_ne,44,89
R2_ne,45,72
R2_ne,46,101
R2_ne,47,112
R2_ne,48,52
R2_ne,49,10
R2_ne,50,2
R2_ne,51,0
R2_ne,52,0
R2_ne,53,0
R2_ne,54,0
R2_ne,55,0
R2_ne,56,0
R2_ne,57,0
R2_ne,58,0
R2_ne,59,0
R2_ne,60,0
R2_ne,61,0
R2_ne,62,0
R2_ne,63,0
R2_ne,64,0
R2_ne,65,0
R2_ne,66,0
R2_ne,67,0
R2_ne,68,0
R2_ne,69,0
R2_ne,70,0
R2_ne,71,0
R2_ne,72,0
R2_ne,73,0
R2_ne,74,0
R2_ne,75,0
R2_ne,76,0
R2_ne,77,0
R2_ne,78,0
R3_sw,0,0
R3_sw,1,0
R3_sw,2,0
R3_sw,3,0
R3_sw,4,0
R3_sw,5,0
R3_sw,6,0
R3_sw,7,0
R3_sw,8,6
R3_sw,9,0
R3_sw,10,19
R3_sw,11,35
R3_sw,12,78
R3_sw,13,175
R3_sw,14,249
R3_sw,15,506
R3_sw,16,565
R3_sw,17,498
R3_sw,18,669
R3_sw,19,821
R3_sw,20,848
R3_sw,21,990
R3_sw,22,893
R3_sw,23,996
R3_sw,24,1087
R3_sw,25,1265
R3_sw,26,1457
R3_sw,27,2189
R3_sw,28,2755
R3_sw,29,3212
R3_sw,30,3997
R3_sw,31,4840
R3_sw,32,5422
R3_sw,33,5723
R3_sw,34,6058
R3_sw,35,5052
R3_sw,36,4179
R3_sw,37,2684
R3_sw,38,1895
R3_sw,39,1100
R3_sw,40,459
R3_sw,41,182
R3_sw,42,93
R3_sw,43,53
R3_sw,44,12
R3_sw,45,0
R3_sw,46,0
R3_sw,47,0
R3_sw,48,0
R3_sw,49,0
R3_sw,50,0
R3_sw,51,0
R3_sw,52,0
R3_sw,53,0
